,index,SNo,Date,Country,RegionCode,RegionName,Latitude,Longitude,HospitalizedPatients,IntensiveCarePatients,TotalHospitalizedPatients,HomeConfinement,CurrentPositiveCases,NewPositiveCases,Recovered,Deaths,TotalPositiveCases,TestsPerformed,Active
0,3948,3948,2020-08-30 17:00:00,ITA,13,Abruzzo,42.35122196,13.39843823,37,1,38,391,429,34,2872,472,3773,101829.0,429
1,3949,3949,2020-08-30 17:00:00,ITA,17,Basilicata,40.63947052,15.80514834,1,1,2,86,88,1,408,28,524,55211.0,88
2,3950,3950,2020-08-30 17:00:00,ITA,18,Calabria,38.90597598,16.59440194,17,0,17,215,232,34,1148,97,1477,152885.0,232
3,3951,3951,2020-08-30 17:00:00,ITA,15,Campania,40.83956555,14.25084984,110,4,114,1911,2025,270,4412,445,6882,233301.0,2025
4,3952,3952,2020-08-30 17:00:00,ITA,8,Emilia-Romagna,44.49436681,11.341720800000001,99,11,110,2758,2868,109,24478,4459,31805,524656.0,2868
5,3953,3953,2020-08-30 17:00:00,ITA,6,Friuli Venezia Giulia,45.6494354,13.76813649,15,1,16,344,360,16,3056,348,3764,152158.0,360
6,3954,3954,2020-08-30 17:00:00,ITA,12,Lazio,41.89277044,12.48366722,310,7,317,2718,3035,156,7130,878,11043,466475.0,3035
7,3955,3955,2020-08-30 17:00:00,ITA,7,Liguria,44.41149315,8.9326992,32,1,33,476,509,53,8827,1571,10907,127057.0,509
8,3956,3956,2020-08-30 17:00:00,ITA,3,Lombardia,45.46679409,9.190347404,194,20,214,6615,6829,235,76248,16863,99940,966973.0,6829
9,3957,3957,2020-08-30 17:00:00,ITA,11,Marche,43.61675973,13.5188753,12,1,13,289,302,15,5949,987,7238,121344.0,302
10,3958,3958,2020-08-30 17:00:00,ITA,14,Molise,41.55774754,14.65916051,3,0,3,67,70,1,432,23,525,32155.0,70
11,3959,3959,2020-08-30 17:00:00,ITA,21,P.A. Bolzano,46.49933453,11.35662422,8,2,10,180,190,8,2450,292,2932,72684.0,190
12,3960,3960,2020-08-30 17:00:00,ITA,22,P.A. Trento,46.06893511,11.12123097,3,1,4,83,87,8,4600,405,5092,82952.0,87
13,3961,3961,2020-08-30 17:00:00,ITA,1,Piemonte,45.0732745,7.680687483,85,5,90,1315,1405,60,27293,4146,32844,359814.0,1405
14,3962,3962,2020-08-30 17:00:00,ITA,16,Puglia,41.12559576,16.86736689,117,5,122,695,817,69,4029,556,5402,213959.0,817
15,3963,3963,2020-08-30 17:00:00,ITA,20,Sardegna,39.21531192,9.110616306,28,3,31,681,712,22,1268,134,2114,114114.0,712
16,3964,3964,2020-08-30 17:00:00,ITA,19,Sicilia,38.11569725,13.362356699999998,68,10,78,1036,1114,34,2891,286,4291,266061.0,1114
17,3965,3965,2020-08-30 17:00:00,ITA,9,Toscana,43.76923077,11.25588885,48,5,53,1450,1503,98,9141,1141,11785,353231.0,1503
18,3966,3966,2020-08-30 17:00:00,ITA,10,Umbria,43.10675841,12.38824698,10,1,11,251,262,31,1442,80,1784,95419.0,262
19,3967,3967,2020-08-30 17:00:00,ITA,2,Valle d'Aosta,45.73750286,7.320149366,2,0,2,21,23,2,1063,146,1232,17533.0,23
20,3968,3968,2020-08-30 17:00:00,ITA,5,Veneto,45.43490485,12.33845213,52,7,59,1286,1345,109,19399,2120,22864,607977.0,1345
